result_type,model,surface,benchmark_or_pack,domain_or_task,runs,passed,pass_rate,available,wall_duration_ms,failure_class_or_modes,source_file,notes
local_smoke_20s_cold_probe,deepseek-coder-v2:latest,ollama_http,BENCH-LOCAL-001,local_runtime_adapter,1,0,0.0,0,,request_watchdog_timeout,benchmark_results\local_ollama_benchmark_20260607_163127.jsonl,20-second cold responsiveness probe; failure is not a final quality score.
local_smoke_20s_cold_probe,deepseek-r1:8b,ollama_http,BENCH-LOCAL-001,local_runtime_adapter,1,0,0.0,0,,request_watchdog_timeout,benchmark_results\local_ollama_benchmark_20260607_163127.jsonl,20-second cold responsiveness probe; failure is not a final quality score.
local_smoke_20s_cold_probe,gemma4:12b,ollama_http,BENCH-LOCAL-001,local_runtime_adapter,1,0,0.0,0,,request_watchdog_timeout,benchmark_results\local_ollama_benchmark_20260607_163127.jsonl,20-second cold responsiveness probe; failure is not a final quality score.
local_smoke_20s_cold_probe,gemma4:12b-it-qat,ollama_http,BENCH-LOCAL-001,local_runtime_adapter,1,0,0.0,0,,request_watchdog_timeout,benchmark_results\local_ollama_benchmark_20260607_163127.jsonl,20-second cold responsiveness probe; failure is not a final quality score.
local_smoke_20s_cold_probe,gemma4:e2b,ollama_http,BENCH-LOCAL-001,local_runtime_adapter,1,0,0.0,0,,request_watchdog_timeout,benchmark_results\local_ollama_benchmark_20260607_163127.jsonl,20-second cold responsiveness probe; failure is not a final quality score.
local_smoke_20s_cold_probe,gemma4:e4b,ollama_http,BENCH-LOCAL-001,local_runtime_adapter,1,0,0.0,0,,request_watchdog_timeout,benchmark_results\local_ollama_benchmark_20260607_163127.jsonl,20-second cold responsiveness probe; failure is not a final quality score.
local_smoke_20s_cold_probe,glm-ocr:latest,ollama_http,BENCH-LOCAL-001,local_runtime_adapter,1,0,0.0,1,17550.2,sentinel_mismatch,benchmark_results\local_ollama_benchmark_20260607_163127.jsonl,20-second cold responsiveness probe; failure is not a final quality score.
local_smoke_20s_cold_probe,gpt-oss:20b,ollama_http,BENCH-LOCAL-001,local_runtime_adapter,1,0,0.0,0,,request_watchdog_timeout,benchmark_results\local_ollama_benchmark_20260607_163127.jsonl,20-second cold responsiveness probe; failure is not a final quality score.
local_smoke_20s_cold_probe,lfm2.5-thinking:1.2b,ollama_http,BENCH-LOCAL-001,local_runtime_adapter,1,0,0.0,0,,request_watchdog_timeout,benchmark_results\local_ollama_benchmark_20260607_163127.jsonl,20-second cold responsiveness probe; failure is not a final quality score.
local_smoke_20s_cold_probe,ministral-3:3b,ollama_http,BENCH-LOCAL-001,local_runtime_adapter,1,0,0.0,0,,request_watchdog_timeout,benchmark_results\local_ollama_benchmark_20260607_163127.jsonl,20-second cold responsiveness probe; failure is not a final quality score.
